From	Entry	Entry Name	Organism	Gene Names
Q6UXN8	Q6UXN8	CLC9A_HUMAN	Homo sapiens (Human)	CLEC9A UNQ9341/PRO34046
Q6UXT8	Q6UXT8	ALKL1_HUMAN	Homo sapiens (Human)	ALKAL1 FAM150A UNQ9433/PRO34745
Q6UXV0	Q6UXV0	GFRAL_HUMAN	Homo sapiens (Human)	GFRAL C6orf144 UNQ9356/PRO34128
Q6VMQ6	Q6VMQ6	MCAF1_HUMAN	Homo sapiens (Human)	ATF7IP MCAF MCAF1
Q6VVX0	Q6VVX0	CP2R1_HUMAN	Homo sapiens (Human)	CYP2R1
Q6WKZ4	Q6WKZ4	RFIP1_HUMAN	Homo sapiens (Human)	RAB11FIP1 RCP
Q6XZF7	Q6XZF7	DNMBP_HUMAN	Homo sapiens (Human)	DNMBP ARHGEF36 KIAA1010 TUBA
Q6Y7W6	Q6Y7W6	GGYF2_HUMAN	Homo sapiens (Human)	GIGYF2 KIAA0642 PERQ2 TNRC15
Q6YHU6	Q6YHU6	THADA_HUMAN	Homo sapiens (Human)	THADA GITA KIAA1767
Q6ZMI3	Q6ZMI3	GLDN_HUMAN	Homo sapiens (Human)	GLDN COLM UNQ9339/PRO34011
Q6ZMJ2	Q6ZMJ2	SCAR5_HUMAN	Homo sapiens (Human)	SCARA5 UNQ2938/PRO28700
Q6ZMJ4	Q6ZMJ4	IL34_HUMAN	Homo sapiens (Human)	IL34 C16orf77
Q6ZMT4	Q6ZMT4	KDM7A_HUMAN	Homo sapiens (Human)	KDM7A JHDM1D KDM7 KIAA1718
Q6ZMU5	Q6ZMU5	TRI72_HUMAN	Homo sapiens (Human)	TRIM72 MG53
Q6ZMZ3	Q6ZMZ3	SYNE3_HUMAN	Homo sapiens (Human)	SYNE3 C14orf139 C14orf49 LINC00341
Q6ZN16	Q6ZN16	M3K15_HUMAN	Homo sapiens (Human)	MAP3K15 ASK3
Q6ZN44	Q6ZN44	UNC5A_HUMAN	Homo sapiens (Human)	UNC5A KIAA1976 UNC5H1
Q6ZNA4	Q6ZNA4	RN111_HUMAN	Homo sapiens (Human)	RNF111
Q6ZNE5	Q6ZNE5	BAKOR_HUMAN	Homo sapiens (Human)	ATG14 ATG14L KIAA0831
Q6ZNL6	Q6ZNL6	FGD5_HUMAN	Homo sapiens (Human)	FGD5 ZFYVE23
Q6ZRS2	Q6ZRS2	SRCAP_HUMAN	Homo sapiens (Human)	SRCAP KIAA0309
Q6ZSG1	Q6ZSG1	RN165_HUMAN	Homo sapiens (Human)	RNF165
Q6ZTA4	Q6ZTA4	TRI67_HUMAN	Homo sapiens (Human)	TRIM67 TNL
Q6ZTQ4	Q6ZTQ4	CDHR3_HUMAN	Homo sapiens (Human)	CDHR3 CDH28
Q6ZUJ8	Q6ZUJ8	BCAP_HUMAN	Homo sapiens (Human)	PIK3AP1 BCAP
Q6ZUM4	Q6ZUM4	RHG27_HUMAN	Homo sapiens (Human)	ARHGAP27 CAMGAP1 SH3D20 PP905
Q6ZVK8	Q6ZVK8	NUD18_HUMAN	Homo sapiens (Human)	NUDT18 MTH3
Q6ZVN8	Q6ZVN8	RGMC_HUMAN	Homo sapiens (Human)	HJV HFE2 RGMC
Q6ZW49	Q6ZW49	PAXI1_HUMAN	Homo sapiens (Human)	PAXIP1 PAXIP1L PTIP CAGF28
Q6ZWB6	Q6ZWB6	KCTD8_HUMAN	Homo sapiens (Human)	KCTD8
Q6ZWJ1	Q6ZWJ1	STXB4_HUMAN	Homo sapiens (Human)	STXBP4
Q6ZYL4	Q6ZYL4	TF2H5_HUMAN	Homo sapiens (Human)	GTF2H5 C6orf175 TTDA
Q70E73	Q70E73	RAPH1_HUMAN	Homo sapiens (Human)	RAPH1 ALS2CR18 ALS2CR9 KIAA1681 LPD PREL2 RMO1
Q70Z35	Q70Z35	PREX2_HUMAN	Homo sapiens (Human)	PREX2 DEPDC2
Q71F23	Q71F23	CENPU_HUMAN	Homo sapiens (Human)	CENPU ICEN24 KLIP1 MLF1IP PBIP1
Q71U36	Q71U36	TBA1A_HUMAN	Homo sapiens (Human)	TUBA1A TUBA3
Q76I76	Q76I76	SSH2_HUMAN	Homo sapiens (Human)	SSH2 KIAA1725 SSH2L
Q76LX8	Q76LX8	ATS13_HUMAN	Homo sapiens (Human)	ADAMTS13 C9orf8 UNQ6102/PRO20085
Q76N89	Q76N89	HECW1_HUMAN	Homo sapiens (Human)	HECW1 KIAA0322 NEDL1
Q7KZF4	Q7KZF4	SND1_HUMAN	Homo sapiens (Human)	SND1 TDRD11
Q7L0Y3	Q7L0Y3	TM10C_HUMAN	Homo sapiens (Human)	TRMT10C MRPP1 RG9MTD1
Q7L1T6	Q7L1T6	NB5R4_HUMAN	Homo sapiens (Human)	CYB5R4 NCB5OR
Q7L1W4	Q7L1W4	LRC8D_HUMAN	Homo sapiens (Human)	LRRC8D LRRC5 UNQ213/PRO239
Q7L2J0	Q7L2J0	MEPCE_HUMAN	Homo sapiens (Human)	MEPCE BCDIN3
Q7L2Z9	Q7L2Z9	CENPQ_HUMAN	Homo sapiens (Human)	CENPQ C6orf139
Q7LBE3	Q7LBE3	S26A9_HUMAN	Homo sapiens (Human)	SLC26A9
Q7LG56	Q7LG56	RIR2B_HUMAN	Homo sapiens (Human)	RRM2B P53R2
Q7RTP6	Q7RTP6	MICA3_HUMAN	Homo sapiens (Human)	MICAL3 KIAA0819 KIAA1364
Q7RTR0	Q7RTR0	NLRP9_HUMAN	Homo sapiens (Human)	NLRP9 NALP9 NOD6 PAN12
Q7Z2E3	Q7Z2E3	APTX_HUMAN	Homo sapiens (Human)	APTX AXA1
Q7Z2W4	Q7Z2W4	ZCCHV_HUMAN	Homo sapiens (Human)	ZC3HAV1 ZC3HDC2 PRO1677
Q7Z2W9	Q7Z2W9	RM21_HUMAN	Homo sapiens (Human)	MRPL21
Q7Z2Z2	Q7Z2Z2	EFL1_HUMAN	Homo sapiens (Human)	EFL1 EFTUD1 FAM42A
Q7Z353	Q7Z353	HDX_HUMAN	Homo sapiens (Human)	HDX CXorf43
Q7Z3B1	Q7Z3B1	NEGR1_HUMAN	Homo sapiens (Human)	NEGR1 IGLON4 UNQ2433/PRO4993
Q7Z3B3	Q7Z3B3	KANL1_HUMAN	Homo sapiens (Human)	KANSL1 CENP-36 KIAA1267 MSL1V1 NSL1
Q7Z3C6	Q7Z3C6	ATG9A_HUMAN	Homo sapiens (Human)	ATG9A APG9L1
Q7Z3Z2	Q7Z3Z2	RD3_HUMAN	Homo sapiens (Human)	RD3 C1orf36
Q7Z406	Q7Z406	MYH14_HUMAN	Homo sapiens (Human)	MYH14 KIAA2034 FP17425
Q7Z434	Q7Z434	MAVS_HUMAN	Homo sapiens (Human)	MAVS IPS1 KIAA1271 VISA
Q7Z460	Q7Z460	CLAP1_HUMAN	Homo sapiens (Human)	CLASP1 KIAA0622 MAST1
